0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Chip,Class
-0.26378658,0.44550365,0.25627255,0.86061436,0.20991799,1.55336,-0.6340569,2.775247,0.5776442,0.8976614,-0.9494103,2.393843,1.1562908,-0.6526973,1.7532505,2.4253855,0.83571494,2.1032856,-0.459886,2.939965,2.2384846,0.81836957,1.3968052,-0.1606423,0.94923943,-0.05264614,-2.0888093,0.76560885,1.4293046,0.5236022,0.42052984,-0.733852,1,1.0
-0.23138863,0.45601898,-0.5494479,0.33705568,-0.055996858,0.24592727,-0.69979054,-0.48263603,0.59262884,-1.211016,-0.43588448,0.86132014,-1.2526033,-0.34950477,0.689575,-0.29154155,0.9871026,-0.6012126,-0.70097136,1.0550677,1.2117821,-0.2776749,-0.5586404,-0.75848144,0.4844474,-0.84863776,-2.3341706,0.14149328,-0.24973017,-0.61630404,-0.52698296,-1.4122206,1,4.0
-0.22587363,0.4574532,-0.5674896,0.3019604,-0.06556176,0.17298932,-0.73550045,-0.62936175,0.6058635,-1.3140744,-0.4430826,0.85654163,-1.2329823,-0.3737412,0.72957796,-0.40542498,1.0440412,-0.69178027,-0.65398,1.1072538,1.1997973,-0.28035718,-0.66574985,-0.7588628,0.39523697,-0.9396701,-2.3776996,0.1430802,-0.3085664,-0.62902445,-0.5642317,-1.4071306,1,4.0
-0.2310993,0.5592266,0.29217038,0.92012984,-0.053032048,1.4724222,-0.31292108,3.3438244,0.8959968,-0.052533086,-0.44723988,1.6647565,-0.4181734,-0.4767982,0.9040318,1.4562805,0.9196019,2.0225558,-0.9817905,1.6647726,3.334751,-0.3029046,1.0867087,-0.84981155,1.8475205,1.2972251,-0.9547028,0.76834947,1.129708,0.09583526,0.75439066,-0.9199247,1,3.0
-0.26840723,0.4370709,0.22692618,0.89982086,0.24003367,1.5818607,-0.6976635,2.814415,0.57054055,0.99191415,-1.0888472,2.6195762,1.2543288,-0.7302172,1.9537293,2.645138,0.83085954,2.2160685,-0.4935916,3.2286773,2.1600232,0.90529,1.5101892,-0.14016044,0.8679235,-0.15370524,-2.3881035,0.7671916,1.5154042,0.5081038,0.4751445,-0.86597097,1,1.0
-0.22027774,0.4272068,-0.5758811,0.2830282,-0.074214645,0.10423078,-0.7204604,-0.68685436,0.55964226,-1.2897455,-0.41376585,0.79822284,-1.1915039,-0.35572466,0.64064074,-0.416394,0.9992931,-0.6643189,-0.62124455,1.0660346,1.0716665,-0.28327584,-0.66216666,-0.68054664,0.2977061,-0.9276114,-2.2876854,0.1392646,-0.3048912,-0.6394658,-0.55572295,-1.2873836,1,4.0
-0.22520098,0.38042867,-0.056662448,0.564384,0.13066883,1.0341998,-0.56136465,1.6893306,0.5201221,0.29265007,-0.6746645,1.8355806,0.49662694,-0.5159713,1.30449,1.5513644,0.7175516,1.2843956,-0.47885716,2.2222757,1.8376796,0.51391834,0.878,-0.25489718,0.67761713,-0.25064665,-2.084817,0.56737584,0.8513321,0.24526341,0.22911851,-0.7905511,1,1.0
-0.21181583,0.4331166,0.297337,0.9227783,0.063530155,1.4684182,-0.38359725,3.0450017,0.67335725,0.6986901,-0.82721317,2.0969818,0.44718674,-0.51005703,1.4797109,2.0077705,0.75443816,1.9791251,-0.78651845,2.0631835,2.498155,0.25953096,1.0773606,-0.38730454,1.3519268,0.65659004,-1.6017815,0.73929423,1.1286067,0.26707712,0.64835924,-0.74937963,1,2.0
-0.23731175,0.4644429,0.29376325,0.93543744,0.09493076,1.5617411,-0.46282285,3.2395165,0.70646644,0.57713014,-0.8731878,2.2338223,0.5211185,-0.6316667,1.444685,2.1568937,0.79865134,2.1532593,-0.7205696,2.4186819,2.7204144,0.37426853,1.370274,-0.4483428,1.3810831,0.5157348,-1.714504,0.6924007,1.4506917,0.25732282,0.69534904,-0.89045525,1,2.0
-0.28432703,0.45207334,0.24561745,0.930318,0.17585404,1.5735252,-0.5903086,2.845582,0.59435254,0.8765745,-0.95253056,2.4547572,1.1106627,-0.6645088,1.7427827,2.455491,0.83480644,2.172125,-0.52235323,2.9421122,2.3464408,0.7615752,1.4793346,-0.22682916,1.1141216,0.0041730553,-2.0885139,0.7669803,1.4826583,0.49954987,0.55322546,-0.82431996,1,1.0
-0.2381043,0.46278507,0.28459105,0.92284703,0.10264192,1.5169646,-0.48214668,3.1331196,0.68341154,0.5645725,-0.8972371,2.2268598,0.5246923,-0.6345402,1.449876,2.1421266,0.79321647,2.1002743,-0.71086574,2.41673,2.6590297,0.39809895,1.3281665,-0.42167318,1.331502,0.43128112,-1.7551411,0.6726592,1.4152229,0.24167128,0.66147536,-0.9049469,1,2.0
-0.23875718,0.4398803,0.28118697,0.8799955,0.12558919,1.5029528,-0.45783,3.0116036,0.6133035,0.7293925,-0.7450763,2.2187805,0.7678908,-0.57468253,1.4016966,2.2648633,0.7304543,2.085099,-0.5873023,2.4763165,2.4690301,0.52926177,1.3734053,-0.3022046,1.2469022,0.39069268,-1.6929936,0.7134176,1.3957466,0.38176093,0.6773006,-0.7672236,1,3.0
-0.21948689,0.5703867,0.30893874,0.8708936,-0.051179428,1.4435848,-0.2747398,3.2931533,0.8359946,-0.05694748,-0.45154786,1.6575705,-0.443732,-0.45534843,0.85727847,1.3872515,0.9048767,1.9986228,-0.95209026,1.5992495,3.282767,-0.3171748,1.0223168,-0.8213864,1.7726773,1.291506,-0.9493523,0.75392735,1.0923289,0.117998034,0.7386612,-0.8773341,1,3.0
-0.2302718,0.4787684,0.29200193,0.93732697,0.042974696,1.5168521,-0.39575058,3.1964614,0.7316369,0.2964643,-0.6958284,2.0079937,0.12683508,-0.55521184,1.2251246,1.8714384,0.7916815,2.0166314,-0.8708308,1.9404814,2.8530478,0.09384521,1.2666517,-0.61370057,1.5971637,0.7833175,-1.3942525,0.65960115,1.3089556,0.14899835,0.7297173,-0.95463485,1,3.0
-0.25886407,0.4378007,0.28140715,0.86477107,0.18947281,1.5938404,-0.616328,2.9290638,0.60558635,0.8335954,-0.93608785,2.3633747,0.9931289,-0.6447906,1.6882066,2.3930306,0.8186972,2.1354866,-0.5363509,2.8276281,2.2864392,0.6749044,1.3659291,-0.22164273,1.0043874,0.09312402,-2.0555482,0.74871606,1.4455048,0.4794725,0.49045992,-0.775184,1,3.0
-0.1834659,0.39561528,-0.5200732,0.2553541,-0.06811616,-0.015739381,-0.62727904,-0.67244524,0.47738698,-1.1404487,-0.3685238,0.6583375,-1.0694802,-0.31220526,0.55045563,-0.3823117,0.89460325,-0.633439,-0.590888,0.8174155,0.92765063,-0.22224838,-0.62866545,-0.583113,0.29501277,-0.8042118,-1.9758708,0.111914925,-0.26878202,-0.5735593,-0.5014699,-1.0781131,1,4.0
-0.2408092,0.5351319,0.27866492,0.94770664,-0.05813589,1.5602167,-0.26931465,3.283129,0.9167266,-0.020311944,-0.46062005,1.6927526,-0.40158817,-0.5038842,0.9371737,1.4787631,0.8974488,2.103151,-1.0044413,1.6717114,3.4116132,-0.30258894,1.1353521,-0.87434787,1.8307481,1.2540063,-1.0486133,0.7567064,1.1723113,0.10875811,0.80877775,-0.9765082,1,3.0
-0.2455034,0.5612369,0.30984622,0.92439586,-0.0056632627,1.5457622,-0.32221556,3.3408499,0.8139185,0.2265729,-0.66465485,1.936063,0.0045862123,-0.5282917,1.0447316,1.7812884,0.8195442,2.172316,-0.9210792,1.9966147,3.1493897,-0.035081826,1.2656499,-0.72130305,1.6627839,1.0159312,-1.2824668,0.69529605,1.3607113,0.12241365,0.7894096,-0.9506802,1,2.0
-0.15694153,0.4313184,-0.48160416,0.337462,-0.09661767,0.015202934,-0.645634,-0.6140189,0.4880682,-1.114471,-0.32367212,0.7538631,-1.121796,-0.3444175,0.52566636,-0.41710097,0.8492893,-0.6471469,-0.59830534,0.85635567,0.88809806,-0.3306405,-0.54626715,-0.62083054,0.38530597,-0.83817446,-2.147338,0.09668138,-0.20742649,-0.6035088,-0.5309443,-1.1379387,1,4.0
-0.25409898,0.4178465,0.1732845,0.79206425,0.22899218,1.4305537,-0.679345,2.4869435,0.56640863,0.8332292,-1.0644463,2.4335642,1.1438384,-0.6646878,1.8528911,2.3768096,0.8376857,1.9668819,-0.47092822,2.9960616,1.9929404,0.9007116,1.2756038,-0.06463325,0.7252612,-0.33759555,-2.4347184,0.7320926,1.3676813,0.43305492,0.33104455,-0.8186709,1,1.0
-0.24043986,0.46286583,0.291905,0.9422152,0.07861449,1.5767745,-0.43900895,3.3191628,0.71482474,0.5452308,-0.81459224,2.1821377,0.435396,-0.59959596,1.4071747,2.1257598,0.78869236,2.1802669,-0.76622367,2.3010342,2.7950413,0.307222,1.3758663,-0.49178505,1.4780167,0.6339319,-1.5858616,0.6995999,1.4361517,0.23975562,0.7397707,-0.8967181,1,2.0
-0.20934927,0.43509316,-0.5471978,0.24623135,-0.035705533,0.036783844,-0.6314822,-0.64165264,0.5416095,-1.1484693,-0.3908698,0.70472336,-1.0108609,-0.33971375,0.6120207,-0.338209,0.93206894,-0.6478171,-0.62717855,0.9085585,1.0900223,-0.19573368,-0.58299184,-0.62783813,0.33756477,-0.8273735,-2.10233,0.1278394,-0.25840878,-0.5620525,-0.48336935,-1.2298415,1,4.0
-0.27639025,0.46833068,0.28433517,0.90268195,0.24946393,1.6463994,-0.696945,2.9544735,0.66672236,0.95316315,-1.0637593,2.563068,1.20973,-0.753533,1.9549268,2.5940955,0.87073696,2.2654521,-0.5240969,3.2149475,2.3374102,0.862789,1.5372174,-0.17290775,0.9547515,-0.1091537,-2.3999755,0.78023154,1.5251139,0.54743266,0.47448355,-0.8862506,1,1.0
-0.23673925,0.48472023,0.29788205,0.81747437,0.06295938,1.4121575,-0.33643043,3.0230417,0.7064103,0.51886845,-0.757376,2.0922077,0.42594448,-0.67845285,1.3635652,2.0861042,0.71725583,2.0254066,-0.783275,2.1657398,2.3708405,0.22888245,1.2923743,-0.4197657,1.2969811,0.52049625,-1.6395582,0.7979381,1.3837429,0.26779112,0.67254734,-0.727934,1,2.0
-0.21576759,0.42468423,-0.5656493,0.26532808,-0.04027278,0.092112705,-0.6390086,-0.61204183,0.547684,-1.163385,-0.3953439,0.81539464,-1.0239445,-0.35982767,0.6548923,-0.3212434,0.9565468,-0.65161026,-0.6326637,1.0050476,1.1521598,-0.18009429,-0.57792526,-0.6368829,0.3602557,-0.84157896,-2.172805,0.10501401,-0.228109,-0.56837064,-0.49965984,-1.2892674,1,4.0
